call_id,cli,received_datetime,language,query_type,status,tickets_identified,transferred_to_ivr,voice_duration,duration_seconds
CALL1001,+91-9876543210,2025-09-30 09:30:15,Hindi,Technical Support,Docket generated,2,2025-09-30 09:33:15,3:00,180
CALL1002,+91-9876543211,2025-09-30 10:15:30,English,Billing Inquiry,Resolved,1,2025-09-30 10:20:45,2:15,135
CALL1003,+91-9876543212,2025-09-30 11:45:10,Bengali,Connection request,Missing,0,,1:23,83
CALL1004,+91-9876543213,2025-09-30 14:20:45,Telugu,Load shedding complaint,Aborted,0,,0:45,45
CALL1005,+91-9876543214,2025-09-30 15:30:20,Tamil,Transformer issue,Docket generated,3,2025-09-30 15:35:10,4:12,252
CALL1006,+91-9876543215,2025-09-29 08:15:30,Marathi,Service Outage Report,Resolved,2,2025-09-29 08:20:15,2:45,165
CALL1007,+91-9876543216,2025-09-29 12:30:45,Gujarati,General Inquiry,Docket under review,1,2025-09-29 12:35:20,1:55,115
CALL1008,+91-9876543217,2025-09-29 16:45:20,Kannada,Product Feedback,Docket generated,4,2025-09-29 16:50:10,3:30,210
CALL1009,+91-9876543218,2025-09-28 09:20:15,Urdu,Complaint Resolution,Resolved,5,2025-09-28 09:25:30,5:15,315
CALL1010,+91-9876543219,2025-09-28 13:40:25,Hindi,Account Recovery,Docket generated,2,2025-09-28 13:45:10,2:20,140
CALL1011,+91-9876543220,2025-09-27 10:15:30,English,Feature Request,Missing,1,,1:45,105
CALL1012,+91-9876543221,2025-09-27 14:30:45,Bengali,Subscription Cancellation,Resolved,3,2025-09-27 14:35:20,3:10,190
CALL1013,+91-9876543222,2025-09-26 11:20:15,Telugu,Refund Request,Docket generated,2,2025-09-26 11:25:30,2:35,155
CALL1014,+91-9876543223,2025-09-26 15:45:30,Tamil,Technical Support,Aborted,0,,0:30,30
CALL1015,+91-9876543224,2025-09-25 09:30:45,Marathi,Billing Inquiry,Resolved,1,2025-09-25 09:35:20,1:50,110
CALL1016,+91-9876543225,2025-09-25 13:15:20,Gujarati,Connection request,Docket generated,4,2025-09-25 13:20:15,4:05,245
CALL1017,+91-9876543226,2025-09-24 08:45:30,Kannada,Load shedding complaint,Missing,0,,1:15,75
CALL1018,+91-9876543227,2025-09-24 12:20:45,Urdu,Transformer issue,Resolved,3,2025-09-24 12:25:30,3:45,225
CALL1019,+91-9876543228,2025-09-23 10:30:15,Hindi,Service Outage Report,Docket generated,2,2025-09-23 10:35:10,2:55,175
CALL1020,+91-9876543229,2025-09-23 14:45:20,English,General Inquiry,Docket under review,1,2025-09-23 14:50:15,1:40,100
CALL1021,+91-9876543230,2025-09-22 09:15:30,Bengali,Product Feedback,Resolved,5,2025-09-22 09:20:25,5:30,330
CALL1022,+91-9876543231,2025-09-22 13:30:45,Telugu,Complaint Resolution,Docket generated,3,2025-09-22 13:35:20,3:20,200
CALL1023,+91-9876543232,2025-09-21 11:45:15,Tamil,Account Recovery,Missing,0,,0:55,55
CALL1024,+91-9876543233,2025-09-21 15:20:30,Marathi,Feature Request,Resolved,2,2025-09-21 15:25:15,2:40,160
CALL1025,+91-9876543234,2025-09-20 08:30:45,Gujarati,Subscription Cancellation,Docket generated,4,2025-09-20 08:35:30,4:15,255
CALL1026,+91-9876543235,2025-09-19 12:15:20,Kannada,Refund Request,Aborted,0,,0:40,40
CALL1027,+91-9876543236,2025-09-19 16:30:15,Urdu,Technical Support,Resolved,1,2025-09-19 16:35:10,1:35,95
CALL1028,+91-9876543237,2025-09-18 10:45:30,Hindi,Billing Inquiry,Docket generated,3,2025-09-18 10:50:25,3:25,205
CALL1029,+91-9876543238,2025-09-18 14:20:45,English,Connection request,Missing,0,,1:10,70
CALL1030,+91-9876543239,2025-09-17 09:30:15,Bengali,Load shedding complaint,Resolved,2,2025-09-17 09:35:20,2:50,170
CALL1031,+91-9876543240,2025-09-16 13:45:30,Telugu,Transformer issue,Docket generated,5,2025-09-16 13:50:15,5:10,310
CALL1032,+91-9876543241,2025-09-15 11:20:45,Tamil,Service Outage Report,Docket under review,1,2025-09-15 11:25:30,1:45,105
CALL1033,+91-9876543242,2025-09-14 15:30:20,Marathi,General Inquiry,Resolved,3,2025-09-14 15:35:15,3:15,195
CALL1034,+91-9876543243,2025-09-13 08:45:15,Gujarati,Product Feedback,Docket generated,2,2025-09-13 08:50:10,2:30,150
CALL1035,+91-9876543244,2025-09-12 12:30:30,Kannada,Complaint Resolution,Missing,0,,0:50,50
CALL1036,+91-9876543245,2025-09-11 16:15:45,Urdu,Account Recovery,Resolved,4,2025-09-11 16:20:30,4:20,260
CALL1037,+91-9876543246,2025-09-10 10:20:15,Hindi,Feature Request,Docket generated,1,2025-09-10 10:25:20,1:55,115
CALL1038,+91-9876543247,2025-09-09 14:35:30,English,Subscription Cancellation,Aborted,0,,0:35,35
CALL1039,+91-9876543248,2025-09-08 09:45:45,Bengali,Refund Request,Resolved,3,2025-09-08 09:50:30,3:35,215
CALL1040,+91-9876543249,2025-09-07 13:20:20,Telugu,Technical Support,Docket generated,2,2025-09-07 13:25:15,2:45,165
CALL1041,+91-9876543250,2025-09-06 11:30:15,Tamil,Billing Inquiry,Missing,0,,1:20,80
CALL1042,+91-9876543251,2025-09-05 15:45:30,Marathi,Connection request,Resolved,5,2025-09-05 15:50:25,5:25,325
