history_id,customer_id,cli,call_datetime,description,status,duration,resolution
HIST1001,CUST5001,+91-9876543210,2025-09-29 14:20:10,Follow-up on previous power outage complaint,Docket generated,3:00,Complaint resolved
HIST1002,CUST5001,+91-9876543210,2025-09-28 08:35:22,Voltage fluctuation reported,Documents filed,1:23,Documents submitted
HIST1003,CUST5002,+91-9876543211,2025-09-27 16:45:15,Billing discrepancy inquiry,Resolved,2:15,Amount adjusted
HIST1004,CUST5002,+91-9876543211,2025-09-26 11:20:30,Payment confirmation request,Completed,1:45,Payment verified
HIST1005,CUST5003,+91-9876543212,2025-09-25 09:15:45,New connection application status,In progress,2:30,Application under review
HIST1006,CUST5003,+91-9876543212,2025-09-24 14:30:20,Documentation submission,Received,1:10,Documents verified
HIST1007,CUST5004,+91-9876543213,2025-09-23 12:45:30,Load shedding schedule inquiry,Informed,0:55,Schedule provided
HIST1008,CUST5004,+91-9876543213,2025-09-22 17:20:15,Transformer maintenance update,Completed,1:35,Maintenance done
HIST1009,CUST5005,+91-9876543214,2025-09-21 10:30:45,Meter reading discrepancy,Resolved,3:20,Reading corrected
HIST1010,CUST5005,+91-9876543214,2025-09-20 15:15:20,Service restoration request,Completed,2:45,Service restored
HIST1011,CUST5006,+91-9876543215,2025-09-19 08:45:15,Bill payment method change,Updated,1:20,Method updated
HIST1012,CUST5006,+91-9876543215,2025-09-18 13:30:40,Auto-debit setup request,Activated,2:10,Auto-debit enabled
HIST1013,CUST5007,+91-9876543216,2025-09-17 11:25:30,Power quality complaint,Investigated,4:15,Issue identified
HIST1014,CUST5007,+91-9876543216,2025-09-16 16:40:25,Follow-up on power quality,Resolved,2:35,Problem fixed
HIST1015,CUST5008,+91-9876543217,2025-09-15 09:20:15,Connection transfer request,Processed,3:45,Transfer completed
HIST1016,CUST5008,+91-9876543217,2025-09-14 14:55:30,Address change notification,Updated,1:50,Address updated
HIST1017,CUST5009,+91-9876543218,2025-09-13 12:10:45,Complaint about billing cycle,Resolved,2:25,Cycle adjusted
HIST1018,CUST5009,+91-9876543218,2025-09-12 17:35:20,Duplicate bill inquiry,Clarified,1:40,Duplicate removed
HIST1019,CUST5010,+91-9876543219,2025-09-11 10:45:15,Emergency service request,Completed,5:30,Emergency resolved
HIST1020,CUST5010,+91-9876543219,2025-09-10 15:20:30,Service quality feedback,Recorded,2:15,Feedback noted
HIST1021,CUST5011,+91-9876543220,2025-09-09 08:30:45,Meter replacement request,Scheduled,3:10,Replacement planned
HIST1022,CUST5011,+91-9876543220,2025-09-08 13:45:20,Pre-replacement inspection,Completed,1:55,Inspection done
HIST1023,CUST5012,+91-9876543221,2025-09-07 11:15:15,Tariff plan inquiry,Explained,2:40,Plan details provided
